"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1963,1,1,48.595159078504,0.677858842107375,32.9406582649785
1964,1,1,0,NA,NA
1965,1,1,0,NA,NA
1966,1,1,0,NA,NA
1967,1,1,8.27573176366697,1.07786009771847,8.9200810474779
1968,1,1,41.9445519355186,0.463615071679689,19.4461264521579
1969,1,1,0,NA,NA
1970,1,1,0,NA,NA
1971,1,1,0.891697496376597,2.25042433183504,2.00669774248228
1972,1,1,2.88151947155925,0.434907159098239,1.2531934472621
1973,1,1,0.561394940181871,0.830275584930408,0.466112512336475
1974,1,1,10.7739969219551,0.379443731889592,4.08812559943362
1975,1,1,1.58194658065489,0.674734056737999,1.06739323390807
1976,1,1,41.9235987886506,0.286178611979523,11.9976373105224
1977,1,1,6.91575628166057,0.435505604344569,3.01185061894432
1978,1,1,8.45650100588175,0.319847485152643,2.70479057992209
1979,1,1,6.91403646194631,0.33659118576127,2.32720373112317
1980,1,1,3.31423084665805,0.277279743738827,0.918969079852658
1981,1,1,47.0196376541171,0.191455450800817,9.00216592356003
1982,1,1,37.8732352000002,0.256981886041933,9.73273541220575
1983,1,1,6.00263902464893,0.390228113573242,2.34239850304987
1984,1,1,45.1026539460904,0.215793673842812,9.73286739508784
1985,1,1,3.95200982824286,0.437361603440027,1.72845735529104
1986,1,1,106.544082327087,0.238797217878923,25.4424304411713
1987,1,1,38.3154947267952,0.29622372620821,11.3499586194823
1988,1,1,95.3251608386253,0.638058962150821,60.8230731915534
1989,1,1,32.03933830485,0.282839317194126,9.06198456949534
1990,1,1,14.066857965527,0.368637685897643,5.18557396826268
1991,1,1,11.9139638610687,0.332539286944461,3.96186104704188
1992,1,1,38.4293418056685,0.257673716167632,9.90223131294279
1993,1,1,17.2109543511249,0.281833218755807,4.85061866263678
1994,1,1,32.6959898390936,0.257907589259453,8.43254391785216
1995,1,1,30.3765924532564,0.238487694043747,7.24444348708379
1996,1,1,6.76183045175661,0.440515292143492,2.97868971688032
1997,1,1,17.4697824105812,0.336759835059892,5.88312104311954
1998,1,1,4.4487249740088,0.538043885643191,2.3936092711736
1999,1,1,32.2512052109726,0.384939121946672,12.4147506156337
2000,1,1,4.15457920811926,0.743233287707104,3.08782156389005
2001,1,1,15.3407252478983,0.361024318599938,5.53837487945135
2002,1,1,32.8826442800388,0.286545034248405,9.4223584314018
2003,1,1,21.0177056265926,0.314738397331438,6.6150789844977
2004,1,1,2.92407722615096,0.541051453846387,1.58207623436808
2005,1,1,56.9150156318578,0.277124450570128,15.7725424361689
2006,1,1,29.420938996264,0.347137885579421,10.2131225549242
2007,1,1,24.2149651124106,0.291068798624706,7.0482208040085
2008,1,1,11.5566151871303,0.313785628126942,3.62629975551501
2009,1,1,1845.3543574249,0.366726878071635,676.741042434323
2010,1,1,222.494026808327,0.387263610261868,86.1638400834935
2011,1,1,9.17928092916143,0.611808650093787,5.61596347410191
2012,1,1,46.1297638933076,0.329801603742143,15.2136701122592
2013,1,1,68.61435416107,0.275892106101305,18.9301586782785
2014,1,1,13.7301145055585,0.671869724054547,9.22484824408688
2015,1,1,33.7769517964639,0.427156333229827,14.4280388770582
2016,1,1,136.699677565184,0.368382788059447,50.3578083482897
2017,1,1,61.1612502705006,0.357502990778024,21.8653298914271
2018,1,1,43.2487082249383,0.295547446322326,12.7820452726198
2019,1,1,103.902715065412,0.302436555266512,31.423979227221
